code;name;country
20017135;SPSL;United States
20017552;Premier Division;Antigua and Barbuda
20017554;First Division;Antigua and Barbuda
20031727;Mountain Division;United States
20031797;Northeast Region;United States
20031798;South Region;United States
20031799;Midwest Region;United States
20031800;West Region;United States
20032845;American Soccer League;United States
20033731;Western Conference;United States
20033732;Eastern Conference;United States
20035150;PLSQ;Canada
20037253;Ontario Soccer League;Canada
20047465;Deep South;United States
20047508;USSL Division Two;United States
20500261;League1 Ontario;Canada
20502998;Canadian Premier League;Canada
22014984;"A"" OFG""";Bulgaria
22087062;"B"" Regional Groups""";Bulgaria
23036284;A-Division;Nepal
23038303;Premier League;Iraq
23063354;Premier League;Kuwait
23071760;Pro League;Oman
23077978;Thai League 4 - NE;Thailand
23077979;Thai League 4 - North;Thailand
23077981;Thai League 4 - Bangkok;Thailand
23077982;Thai League 4 - South;Thailand
23078220;Third Division;Macao
23078275;First Division;Kuwait
23078279;Lower Division;Pakistan
23084471;C-League;Cambodia
23084472;Lower Division;Cambodia
23086526;Premier League;Brunei Darussalam
23086527;Lower Division;Brunei Darussalam
23090572;Lower Division;Bangladesh
23090671;Second Division A;Iran
23090672;Second Division B;Iran
23090710;Lower Division;Syria
23090715;Lower Division;Oman
23090849;Lower Division;Qatar
23090900;First Division;Yemen
23090901;Lower Division;Yemen
23090919;Division A;Northern Mariana Islands
23090922;National League;Myanmar
23090960;Lower Division;Myanmar
23090971;Premier League;Mongolia
23090998;Lower Division;Iraq
23091052;West Bank Premier;Palestine
23091053;West Bank Lower;Palestine
23093045;Dhivehi League;Maldives
23099991;Super League;Bhutan
23100525;Premier League;North Korea
23103791;Lower Division;Bhutan
23106020;Premier League;Afghanistan
23110307;Qingdao SL;China
23110313;Shenzhen SL;China
23110315;Guangdong SL;China
